9252,4.2948e+09,275
9254,173,290
9255,172,291
9256,167,291
9257,163,292
9258,169,290
9259,168,290
9260,150,290
9261,170,291
9262,164,294
9263,173,290
9264,169,290
9265,166,289
9266,163,290
9267,167,291
9268,166,290
9269,167,289
9270,172,290
9271,167,290
9274,167,289
9275,167,290
9276,163,290
9277,144,285
9278,168,290
9279,172,290
9280,167,289
9281,167,290
9282,169,290
9283,172,290
9284,169,294
9285,168,290
9286,176,290
9288,170,294
9289,166,290
9290,168,298
9291,167,290
9292,170,290
9293,168,292
9295,168,290
9296,163,297
9297,168,291
9298,164,290
9299,168,290
9300,155,291
9301,172,289
9302,166,289
9304,165,290
9305,167,289
9306,169,289
9307,170,289
9308,162,290
9309,167,293
9310,173,291
9311,165,289
9312,165,289
9313,169,289
9315,167,294
9316,167,292
9317,167,290
9318,167,290
9319,171,290
9320,168,290
9321,167,293
9322,167,290
9323,166,290
9325,167,289
9326,168,290
9327,166,290
9328,171,290
9329,168,290
9330,167,292
9331,165,291
9332,171,290
9333,167,291
9335,171,290
9336,168,298
9337,170,290
9338,172,290
9339,167,289
9340,107,290
9341,170,289
9342,167,289
9343,166,290
9345,167,290
9346,173,290
9347,167,290
9348,167,289
9349,168,290
9350,5.3687e+08,289
9351,167,290
9352,171,293
9353,164,290
9355,169,291
9356,167,290
9357,167,290
9358,184,290
9359,173,290
9360,167,290
9361,167,290
9362,167,290
9363,165,291
9365,167,290
9366,171,289
9367,169,290
9368,170,291
9369,168,290
9370,164,291
9371,168,291
9372,203,298
9373,168,290
9375,168,290
9376,168,289
9377,168,290
9378,167,290
9379,167,290
9380,163,289
9381,173,290
9382,173,290
9383,167,291
9385,167,289
9386,165,289
9387,166,289
9388,171,290
9389,172,290
9390,173,289
9391,156,289
9392,167,290
9393,168,290
9395,141,290
9396,171,290
9397,167,290
9398,172,290
9399,165,292
9400,168,290
9401,168,290
9402,168,289
9403,169,283
9405,168,291
9406,168,291
9407,169,291
9408,166,291
9409,168,293
9410,167,290
9411,167,289
9412,228,289
9413,168,289
9415,170,293
9416,173,289
9417,169,289
9418,167,289
9419,169,289
9420,167,292
9421,169,290
9422,177,289
9423,168,290
9425,165,290
9426,171,290
9427,167,290
9428,184,290
9429,168,289
9430,156,290
9431,170,290
9432,167,290
9433,170,290
9435,168,290
9436,166,290
9437,168,290
